work_index	section	work_title	target	mode	source_path	source_format	source_parts	output_path	global_transposition	status	error
21	Sacred works for six voices	Ad te levavi animam meam	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/021_ad_te_levavi_animam_meam__02_17_ad_te_levavi_animam_meam.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/021_ad_te_levavi_animam_meam.musicxml	-1	ok	
22	Sacred works for six voices	Adoramus te Christe	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/022_adoramus_te_christe__01_10_adoramus_te_christe.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/022_adoramus_te_christe.musicxml	2	ok	
23	Sacred works for six voices	Aestimatus sum	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/023_aestimatus_sum__02_aestimatus_sum_gesualdo.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/023_aestimatus_sum.musicxml	2	ok	
24	Sacred works for six voices	Ardens est cor meum	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/024_ardens_est_cor_meum__01_14_ardens_est_cor_meum.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/024_ardens_est_cor_meum.musicxml	2	ok	
25	Sacred works for six voices	Assumpta est Maria	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/025_assumpta_est_maria__02_12_assumpta_est_maria.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/025_assumpta_est_maria.musicxml	2	ok	
26	Sacred works for six voices	Astiterunt reges terrae	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/026_astiterunt_reges_terrae__02_astiterunt_reges_gesualdo.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/026_astiterunt_reges_terrae.musicxml	2	ok	
27	Sacred works for six voices	Ave sanctissima	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/027_ave_sanctissima__02_04_ave_sanctissima.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/027_ave_sanctissima.musicxml	2	ok	
28	Sacred works for six voices	Da pacem Domine	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/028_da_pacem_domine__02_02_da_pacem_domine.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/028_da_pacem_domine.musicxml	2	ok	
29	Sacred works for six voices	Discedite a me	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/029_discedite_a_me__01_06_discedite_a_me.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/029_discedite_a_me.musicxml	2	ok	
30	Sacred works for six voices	Domine Deus	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/030_domine_deus__02_15_domine_deus.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/030_domine_deus.musicxml	4	ok	
31	Sacred works for six voices	Ecce quomodo moritur justus	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/031_ecce_quomodo_moritur_justus__02_ecce_quomodo_gesualdo.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/031_ecce_quomodo_moritur_justus.musicxml	0	ok	
32	Sacred works for six voices	Ecce vidimus eum	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/032_ecce_vidimus_eum__01_gesualdo_ecce_vidimus.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/032_ecce_vidimus_eum.musicxml	7	ok	
33	Sacred works for six voices	Franciscus humilis	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/033_franciscus_humilis__01_18_franciscus_humilis.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/033_franciscus_humilis.musicxml	2	ok	
34	Sacred works for six voices	Gaudeamus omnes	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/034_gaudeamus_omnes__01_07_gaudeamus_omnes.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/034_gaudeamus_omnes.musicxml	0	ok	
35	Sacred works for six voices	In monte Oliveti	string_quartet	six_voice_quartet	data/cpdl/6-voices/sources/035_in_monte_oliveti__01_in_monte_oliveti_gesualdo.mxl	mxl	6	data/cpdl/6-voices/reductions/string_quartet/035_in_monte_oliveti.musicxml	2	ok	
