work_index	section	work_title	work_url	download_index	format	local_path	download_url	source_filename
1	Sacred works for four voices	In te Domine speravi	https://test.cpdl.org/wiki/index.php/In_te_Domine_speravi_(Carlo_Gesualdo)	1	mid	data/cpdl/4-voices/sources/001_in_te_domine_speravi__01_gesu_int.mid	https://test.cpdl.org/wiki/images/d/d9/Gesu-int.MID	Gesu-int.MID
1	Sacred works for four voices	In te Domine speravi	https://test.cpdl.org/wiki/index.php/In_te_Domine_speravi_(Carlo_Gesualdo)	2	mxl	data/cpdl/4-voices/sources/001_in_te_domine_speravi__02_gesu_int.mxl	https://test.cpdl.org/wiki/images/8/86/Gesu-int.mxl	Gesu-int.mxl
2	Sacred works for five voices	Ave Regina coelorum	https://test.cpdl.org/wiki/index.php/Ave_Regina_coelorum_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/002_ave_regina_coelorum__01_gesualdo_ave_regina_coelorum.mid	https://test.cpdl.org/wiki/images/4/44/Gesualdo-Ave_Regina_coelorum.mid	Gesualdo-Ave_Regina_coelorum.mid
2	Sacred works for five voices	Ave Regina coelorum	https://test.cpdl.org/wiki/index.php/Ave_Regina_coelorum_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/002_ave_regina_coelorum__02_gesualdo_ave_regina_coelorum.mxl	https://test.cpdl.org/wiki/images/3/30/Gesualdo-Ave_Regina_coelorum.mxl	Gesualdo-Ave_Regina_coelorum.mxl
3	Sacred works for five voices	Ave, dulcissima Maria	https://test.cpdl.org/wiki/index.php/Ave,_dulcissima_Maria_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/003_ave_dulcissima_maria__01_ave_dulcissima_maria_gesualdo.mid	https://test.cpdl.org/wiki/images/f/f5/Ave_dulcissima_Maria_Gesualdo.mid	Ave_dulcissima_Maria_Gesualdo.mid
3	Sacred works for five voices	Ave, dulcissima Maria	https://test.cpdl.org/wiki/index.php/Ave,_dulcissima_Maria_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/003_ave_dulcissima_maria__02_ave_dulcissima_maria_gesualdo.mxl	https://test.cpdl.org/wiki/images/d/dd/Ave_dulcissima_Maria_Gesualdo.mxl	Ave_dulcissima_Maria_Gesualdo.mxl
3	Sacred works for five voices	Ave, dulcissima Maria	https://test.cpdl.org/wiki/index.php/Ave,_dulcissima_Maria_(Carlo_Gesualdo)	3	mid	data/cpdl/5-voices/sources/003_ave_dulcissima_maria__03_gesualdo_ave_dulcissima_maria.mid	https://test.cpdl.org/wiki/images/3/3c/Gesualdo_-_Ave%2C_dulcissima_Maria.mid	Gesualdo_-_Ave,_dulcissima_Maria.mid
3	Sacred works for five voices	Ave, dulcissima Maria	https://test.cpdl.org/wiki/index.php/Ave,_dulcissima_Maria_(Carlo_Gesualdo)	4	mxl	data/cpdl/5-voices/sources/003_ave_dulcissima_maria__04_gesualdo_ave_dulcissima_maria.mxl	https://test.cpdl.org/wiki/images/5/5e/Gesualdo_-_Ave%2C_dulcissima_Maria.mxl	Gesualdo_-_Ave,_dulcissima_Maria.mxl
4	Sacred works for five voices	Deus refugium et virtus	https://test.cpdl.org/wiki/index.php/Deus_refugium_et_virtus_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/004_deus_refugium_et_virtus__01_gesualdo_deus_refugium.mid	https://test.cpdl.org/wiki/images/0/05/Gesualdo-Deus_refugium.mid	Gesualdo-Deus_refugium.mid
4	Sacred works for five voices	Deus refugium et virtus	https://test.cpdl.org/wiki/index.php/Deus_refugium_et_virtus_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/004_deus_refugium_et_virtus__02_gesualdo_deus_refugium.mxl	https://test.cpdl.org/wiki/images/8/86/Gesualdo-Deus_refugium.mxl	Gesualdo-Deus_refugium.mxl
