work_index	section	work_title	source_path	source_format	source_parts	output_path	global_transposition	status	error
2	Sacred works for five voices	Ave Regina coelorum	data/cpdl/002_ave_regina_coelorum__02_gesualdo_ave_regina_coelorum.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/002_ave_regina_coelorum__quartet_rhythm_first.musicxml	2	ok	
3	Sacred works for five voices	Ave, dulcissima Maria	data/cpdl/003_ave_dulcissima_maria__02_ave_dulcissima_maria_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/003_ave_dulcissima_maria__quartet_rhythm_first.musicxml	2	ok	
4	Sacred works for five voices	Deus refugium et virtus	data/cpdl/004_deus_refugium_et_virtus__02_gesualdo_deus_refugium.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/004_deus_refugium_et_virtus__quartet_rhythm_first.musicxml	2	ok	
5	Sacred works for five voices	Dignare me	data/cpdl/005_dignare_me__02_gesualdo_dignare_me.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/005_dignare_me__quartet_rhythm_first.musicxml	2	ok	
6	Sacred works for five voices	Domine ne despicias	data/cpdl/006_domine_ne_despicias__02_gesualdo_domine_ne_despicias.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/006_domine_ne_despicias__quartet_rhythm_first.musicxml	2	ok	
7	Sacred works for five voices	Exaudi Deus	data/cpdl/007_exaudi_deus__02_gesualdo_exaudi_deus.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/007_exaudi_deus__quartet_rhythm_first.musicxml	2	ok	
8	Sacred works for five voices	Hei mihi, Domine	data/cpdl/008_hei_mihi_domine__02_gesu_hei.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/008_hei_mihi_domine__quartet_rhythm_first.musicxml	2	ok	
9	Sacred works for five voices	Illumina faciem tuam	data/cpdl/009_illumina_faciem_tuam__02_illumina_faciem_tuam_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/009_illumina_faciem_tuam__quartet_rhythm_first.musicxml	2	ok	
10	Sacred works for five voices	Laboravi in gemitu meo	data/cpdl/010_laboravi_in_gemitu_meo__02_gesualdo_laboravi.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/010_laboravi_in_gemitu_meo__quartet_rhythm_first.musicxml	4	ok	
11	Sacred works for five voices	Maria, mater gratiae	data/cpdl/011_maria_mater_gratiae__02_gesualdo_maria_mater_gratiae.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/011_maria_mater_gratiae__quartet_rhythm_first.musicxml	2	ok	
12	Sacred works for five voices	O Crux benedicta	data/cpdl/012_o_crux_benedicta__02_gesualdo_o_crux_benedicta.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/012_o_crux_benedicta__quartet_rhythm_first.musicxml	0	ok	
13	Sacred works for five voices	O vos omnes (1603)	data/cpdl/013_o_vos_omnes_1603__02_gesualdo_ovosomnes.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/013_o_vos_omnes_1603__quartet_rhythm_first.musicxml	3	ok	
14	Sacred works for five voices	Peccantem me quotidie	data/cpdl/014_peccantem_me_quotidie__02_gesualdo_peccantum_me.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/014_peccantem_me_quotidie__quartet_rhythm_first.musicxml	2	ok	
15	Sacred works for five voices	Precibus et meritis	data/cpdl/015_precibus_et_meritis__02_gesualdo_precibus.mxl	mxl	5	data/cpdl_reductions/five_voice_string_quartet/015_precibus_et_meritis__quartet_rhythm_first.musicxml	2	ok	
