book	title	filename	parts	duration_quarters	chosen_semitones	transposition_score	status	output	reduced_parts	measures_per_part	error
IV	1. Luci serena e chiare	gesualdo_iv_libro_madrigali_1_(c)icking-archive.mid	5	344.0	-1	0.362301	ok	gesualdo_iv_libro_madrigali_1_(c)icking-archive_quartet_rhythm_first.musicxml	4	86,86,86,86	none
IV	2. Tallor sano desio	gesualdo_iv_libro_madrigali_2_(c)icking-archive.mid	5	292.0	-1	0.362074	ok	gesualdo_iv_libro_madrigali_2_(c)icking-archive_quartet_rhythm_first.musicxml	4	73,73,73,73	none
IV	3-4. Io Tacerò	gesualdo_iv_libro_madrigali_3-4_(c)icking-archive.mid	5	552.0	1	0.492314	ok	gesualdo_iv_libro_madrigali_3-4_(c)icking-archive_quartet_rhythm_first.musicxml	4	138,138,138,138	none
IV	5. Che fai meco	gesualdo_iv_libro_madrigali_5_(c)icking-archive.mid	5	220.0	1	0.418197	ok	gesualdo_iv_libro_madrigali_5_(c)icking-archive_quartet_rhythm_first.musicxml	4	55,55,55,55	none
IV	6. Questa crudele et pia	gesualdo_iv_libro_madrigali_6_(c)icking-archive.mid	5	308.0	1	0.321606	ok	gesualdo_iv_libro_madrigali_6_(c)icking-archive_quartet_rhythm_first.musicxml	4	77,77,77,77	none
IV	7-8. Or che in gioia	gesualdo_iv_libro_madrigali_7-8_(c)icking-archive.mid	5	334.0	-1	0.357012	ok	gesualdo_iv_libro_madrigali_7-8_(c)icking-archive_quartet_rhythm_first.musicxml	4	85,85,85,85	none
IV	9-10. Cor mio, deh, non piangete	gesualdo_iv_libro_madrigali_9-10_(c)icking-archive.mid	5	404.0	1	0.442808	ok	gesualdo_iv_libro_madrigali_9-10_(c)icking-archive_quartet_rhythm_first.musicxml	4	101,101,101,101	none
IV	11. Sparge la morte	gesualdo_iv_libro_madrigali_11_(c)icking-archive.mid	5	460.0	3	0.348933	ok	gesualdo_iv_libro_madrigali_11_(c)icking-archive_quartet_rhythm_first.musicxml	4	115,115,115,115	none
IV	12-13. Moro, e mentre sospiro	gesualdo_iv_libro_madrigali_12-13_(c)icking-archive.mid	5	308.0	2	0.493598	ok	gesualdo_iv_libro_madrigali_12-13_(c)icking-archive_quartet_rhythm_first.musicxml	4	77,77,77,77	none
IV	14. Mentre gira costei	gesualdo_iv_libro_madrigali_14_(c)icking-archive.mid	5	228.0	0	0.354195	ok	gesualdo_iv_libro_madrigali_14_(c)icking-archive_quartet_rhythm_first.musicxml	4	57,57,57,57	none
IV	15. A voi, mentre il mio core	gesualdo_iv_libro_madrigali_15_(c)icking-archive.mid	5	236.0	-1	0.338248	ok	gesualdo_iv_libro_madrigali_15_(c)icking-archive_quartet_rhythm_first.musicxml	4	59,59,59,59	none
IV	16-17. Ecco, morirò dunque	gesualdo_iv_libro_madrigali_16-17_(c)icking-archive.mid	5	320.0	0	0.341776	ok	gesualdo_iv_libro_madrigali_16-17_(c)icking-archive_quartet_rhythm_first.musicxml	4	80,80,80,80	none
IV	18. Arde il mio cor	gesualdo_iv_libro_madrigali_18_(c)icking-archive.mid	5	224.0	0	0.270176	ok	gesualdo_iv_libro_madrigali_18_(c)icking-archive_quartet_rhythm_first.musicxml	4	56,56,56,56	none
IV	19. Se chiudete nel core	gesualdo_iv_libro_madrigali_19_(c)icking-archive.mid	5	212.0	0	0.306730	ok	gesualdo_iv_libro_madrigali_19_(c)icking-archive_quartet_rhythm_first.musicxml	4	53,53,53,53	none
VI	1. Se la mia morte brami	gesualdo_vi_libro_madrigali_1_(c)icking-archive.mid	5	392.0	0	0.326959	ok	gesualdo_vi_libro_madrigali_1_(c)icking-archive_quartet_rhythm_first.musicxml	4	98,98,98,98	none
VI	2. Beltà poi che tassenti	gesualdo_vi_libro_madrigali_2_(c)icking-archive.mid	5	328.0	0	0.411626	ok	gesualdo_vi_libro_madrigali_2_(c)icking-archive_quartet_rhythm_first.musicxml	4	82,82,82,82	none
VI	3. Tu piangi, o filli mia	gesualdo_vi_libro_madrigali_3_(c)icking-archive.mid	5	320.0	1	0.371635	ok	gesualdo_vi_libro_madrigali_3_(c)icking-archive_quartet_rhythm_first.musicxml	4	80,80,80,80	none
VI	4. Resta di darmi noia	gesualdo_vi_libro_madrigali_4_(c)icking-archive.mid	5	296.0	1	0.473277	ok	gesualdo_vi_libro_madrigali_4_(c)icking-archive_quartet_rhythm_first.musicxml	4	74,74,74,74	none
VI	5. Chiaro risplender suole	gesualdo_vi_libro_madrigali_5_(c)icking-archive.mid	5	384.0	0	0.329151	ok	gesualdo_vi_libro_madrigali_5_(c)icking-archive_quartet_rhythm_first.musicxml	4	96,96,96,96	none
VI	6. Io parto e non più dissi	gesualdo_vi_libro_madrigali_6_(c)icking-archive.mid	5	296.0	0	0.405896	ok	gesualdo_vi_libro_madrigali_6_(c)icking-archive_quartet_rhythm_first.musicxml	4	74,74,74,74	none
VI	7. Mille volte il di	gesualdo_vi_libro_madrigali_7_(c)icking-archive.mid	5	328.0	2	0.378196	ok	gesualdo_vi_libro_madrigali_7_(c)icking-archive_quartet_rhythm_first.musicxml	4	82,82,82,82	none
VI	8. O Dolce mio tesoro	gesualdo_vi_libro_madrigali_8_(c)icking-archive.mid	5	280.0	0	0.342774	ok	gesualdo_vi_libro_madrigali_8_(c)icking-archive_quartet_rhythm_first.musicxml	4	70,70,70,70	none
VI	9. Deh, come invan sospiro	gesualdo_vi_libro_madrigali_9_(c)icking-archive.mid	5	292.0	0	0.306834	ok	gesualdo_vi_libro_madrigali_9_(c)icking-archive_quartet_rhythm_first.musicxml	4	73,73,73,73	none
VI	10.  Io pur respiro in così gran dolore	gesualdo_vi_libro_madrigali_10_(c)icking-archive.mid	5	264.0	0	0.280893	ok	gesualdo_vi_libro_madrigali_10_(c)icking-archive_quartet_rhythm_first.musicxml	4	66,66,66,66	none
VI	11. Alme dAmor rubelle	gesualdo_vi_libro_madrigali_11_(c)icking-archive.mid	5	196.0	-1	0.382057	ok	gesualdo_vi_libro_madrigali_11_(c)icking-archive_quartet_rhythm_first.musicxml	4	49,49,49,49	none
VI	12. Càndido e verde fiore	gesualdo_vi_libro_madrigali_12_(c)icking-archive.mid	5	200.0	-1	0.391196	ok	gesualdo_vi_libro_madrigali_12_(c)icking-archive_quartet_rhythm_first.musicxml	4	50,50,50,50	none
VI	13. Ardita Zanzaretta	gesualdo_vi_libro_madrigali_13_(c)icking-archive.mid	5	300.0	1	0.326902	ok	gesualdo_vi_libro_madrigali_13_(c)icking-archive_quartet_rhythm_first.musicxml	4	75,75,75,75	none
VI	14. Ardo per te, mio bene	gesualdo_vi_libro_madrigali_14_(c)icking-archive.mid	5	328.0	2	0.406867	ok	gesualdo_vi_libro_madrigali_14_(c)icking-archive_quartet_rhythm_first.musicxml	4	82,82,82,82	none
VI	15. Ancide sol la morte	gesualdo_vi_libro_madrigali_15_(c)icking-archive.mid	5	240.0	0	0.377753	ok	gesualdo_vi_libro_madrigali_15_(c)icking-archive_quartet_rhythm_first.musicxml	4	60,60,60,60	none
VI	16. Quel no crudel que la mia speme ancise	gesualdo_vi_libro_madrigali_16_(c)icking-archive.mid	5	244.0	0	0.394022	ok	gesualdo_vi_libro_madrigali_16_(c)icking-archive_quartet_rhythm_first.musicxml	4	61,61,61,61	none
VI	17. Moro, lasso, al mio duolo	gesualdo_vi_libro_madrigali_17_(c)icking-archive.mid	5	344.0	0	0.295460	ok	gesualdo_vi_libro_madrigali_17_(c)icking-archive_quartet_rhythm_first.musicxml	4	86,86,86,86	none
VI	18. Volan quasi farfalle	gesualdo_vi_libro_madrigali_18_(c)icking-archive.mid	5	288.0	-1	0.384345	ok	gesualdo_vi_libro_madrigali_18_(c)icking-archive_quartet_rhythm_first.musicxml	4	72,72,72,72	none
VI	19. Al mio gioir il ciel si fa sereno	gesualdo_vi_libro_madrigali_19_(c)icking-archive.mid	5	249.0	-1	0.367686	ok	gesualdo_vi_libro_madrigali_19_(c)icking-archive_quartet_rhythm_first.musicxml	4	63,63,63,63	none
VI	20. Tu segui, o bella Clori	gesualdo_vi_libro_madrigali_20_(c)icking-archive.mid	5	236.0	0	0.431175	ok	gesualdo_vi_libro_madrigali_20_(c)icking-archive_quartet_rhythm_first.musicxml	4	59,59,59,59	none
VI	21. Ancor che per amarti	gesualdo_vi_libro_madrigali_21_(c)icking-archive.mid	5	336.0	0	0.297434	ok	gesualdo_vi_libro_madrigali_21_(c)icking-archive_quartet_rhythm_first.musicxml	4	84,84,84,84	none
VI	22. Già piansi nel dolore	gesualdo_vi_libro_madrigali_22_(c)icking-archive.mid	5	230.0	0	0.331850	ok	gesualdo_vi_libro_madrigali_22_(c)icking-archive_quartet_rhythm_first.musicxml	4	58,58,58,58	none
VI	23. Quando ridente e bella	gesualdo_vi_libro_madrigali_23_(c)icking-archive.mid	5	253.0	-1	0.359785	ok	gesualdo_vi_libro_madrigali_23_(c)icking-archive_quartet_rhythm_first.musicxml	4	64,64,64,64	none
