book	title	filename	direct_url
IV	1. Luci serena e chiare	gesualdo_iv_libro_madrigali_1_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_1_(c)icking-archive.mid
IV	2. Tallor sano desio	gesualdo_iv_libro_madrigali_2_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_2_(c)icking-archive.mid
IV	3-4. Io Tacerò	gesualdo_iv_libro_madrigali_3-4_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_3-4_(c)icking-archive.mid
IV	5. Che fai meco	gesualdo_iv_libro_madrigali_5_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_5_(c)icking-archive.mid
IV	6. Questa crudele et pia	gesualdo_iv_libro_madrigali_6_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_6_(c)icking-archive.mid
IV	7-8. Or che in gioia	gesualdo_iv_libro_madrigali_7-8_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_7-8_(c)icking-archive.mid
IV	9-10. Cor mio, deh, non piangete	gesualdo_iv_libro_madrigali_9-10_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_9-10_(c)icking-archive.mid
IV	11. Sparge la morte	gesualdo_iv_libro_madrigali_11_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_11_(c)icking-archive.mid
IV	12-13. Moro, e mentre sospiro	gesualdo_iv_libro_madrigali_12-13_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_12-13_(c)icking-archive.mid
IV	14. Mentre gira costei	gesualdo_iv_libro_madrigali_14_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_14_(c)icking-archive.mid
IV	15. A voi, mentre il mio core	gesualdo_iv_libro_madrigali_15_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_15_(c)icking-archive.mid
IV	16-17. Ecco, morirò dunque	gesualdo_iv_libro_madrigali_16-17_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_16-17_(c)icking-archive.mid
IV	18. Arde il mio cor	gesualdo_iv_libro_madrigali_18_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_18_(c)icking-archive.mid
IV	19. Se chiudete nel core	gesualdo_iv_libro_madrigali_19_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_19_(c)icking-archive.mid
VI	1. Se la mia morte brami	gesualdo_vi_libro_madrigali_1_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_1_(c)icking-archive.mid
VI	2. Beltà poi che tassenti	gesualdo_vi_libro_madrigali_2_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_2_(c)icking-archive.mid
