book	title	filename	parts	duration_quarters	chosen_semitones	transposition_score	status	output	reduced_staves	measures_per_staff	voices_per_staff	error
IV	1. Luci serena e chiare	gesualdo_iv_libro_madrigali_1_(c)icking-archive.mid	5	344.0	-1	0.973677	ok	gesualdo_iv_libro_madrigali_1_(c)icking-archive_piano_reduction.musicxml	2	86,86	3,2	none
IV	2. Tallor sano desio	gesualdo_iv_libro_madrigali_2_(c)icking-archive.mid	5	292.0	-3	0.777135	ok	gesualdo_iv_libro_madrigali_2_(c)icking-archive_piano_reduction.musicxml	2	73,73	3,2	none
IV	3-4. Io Tacerò	gesualdo_iv_libro_madrigali_3-4_(c)icking-archive.mid	5	552.0	2	0.813705	ok	gesualdo_iv_libro_madrigali_3-4_(c)icking-archive_piano_reduction.musicxml	2	138,138	3,2	none
IV	5. Che fai meco	gesualdo_iv_libro_madrigali_5_(c)icking-archive.mid	5	220.0	-1	0.866565	ok	gesualdo_iv_libro_madrigali_5_(c)icking-archive_piano_reduction.musicxml	2	55,55	3,2	none
IV	6. Questa crudele et pia	gesualdo_iv_libro_madrigali_6_(c)icking-archive.mid	5	308.0	-2	0.663422	ok	gesualdo_iv_libro_madrigali_6_(c)icking-archive_piano_reduction.musicxml	2	77,77	3,2	none
IV	7-8. Or che in gioia	gesualdo_iv_libro_madrigali_7-8_(c)icking-archive.mid	5	334.0	-2	0.594994	ok	gesualdo_iv_libro_madrigali_7-8_(c)icking-archive_piano_reduction.musicxml	2	85,85	3,2	none
IV	9-10. Cor mio, deh, non piangete	gesualdo_iv_libro_madrigali_9-10_(c)icking-archive.mid	5	404.0	1	0.675342	ok	gesualdo_iv_libro_madrigali_9-10_(c)icking-archive_piano_reduction.musicxml	2	101,101	3,2	none
IV	11. Sparge la morte	gesualdo_iv_libro_madrigali_11_(c)icking-archive.mid	5	460.0	4	1.100032	ok	gesualdo_iv_libro_madrigali_11_(c)icking-archive_piano_reduction.musicxml	2	115,115	3,2	none
IV	12-13. Moro, e mentre sospiro	gesualdo_iv_libro_madrigali_12-13_(c)icking-archive.mid	5	308.0	2	1.015259	ok	gesualdo_iv_libro_madrigali_12-13_(c)icking-archive_piano_reduction.musicxml	2	77,77	3,2	none
IV	14. Mentre gira costei	gesualdo_iv_libro_madrigali_14_(c)icking-archive.mid	5	228.0	-3	0.881443	ok	gesualdo_iv_libro_madrigali_14_(c)icking-archive_piano_reduction.musicxml	2	57,57	3,2	none
IV	15. A voi, mentre il mio core	gesualdo_iv_libro_madrigali_15_(c)icking-archive.mid	5	236.0	-1	0.888137	ok	gesualdo_iv_libro_madrigali_15_(c)icking-archive_piano_reduction.musicxml	2	59,59	3,2	none
IV	16-17. Ecco, morirò dunque	gesualdo_iv_libro_madrigali_16-17_(c)icking-archive.mid	5	320.0	-1	0.858615	ok	gesualdo_iv_libro_madrigali_16-17_(c)icking-archive_piano_reduction.musicxml	2	80,80	3,2	none
IV	18. Arde il mio cor	gesualdo_iv_libro_madrigali_18_(c)icking-archive.mid	5	224.0	-1	0.653026	ok	gesualdo_iv_libro_madrigali_18_(c)icking-archive_piano_reduction.musicxml	2	56,56	3,2	none
IV	19. Se chiudete nel core	gesualdo_iv_libro_madrigali_19_(c)icking-archive.mid	5	212.0	-1	0.720013	ok	gesualdo_iv_libro_madrigali_19_(c)icking-archive_piano_reduction.musicxml	2	53,53	3,2	none
VI	1. Se la mia morte brami	gesualdo_vi_libro_madrigali_1_(c)icking-archive.mid	5	392.0	-1	0.684057	ok	gesualdo_vi_libro_madrigali_1_(c)icking-archive_piano_reduction.musicxml	2	98,98	3,2	none
VI	2. Beltà poi che tassenti	gesualdo_vi_libro_madrigali_2_(c)icking-archive.mid	5	328.0	-1	0.926699	ok	gesualdo_vi_libro_madrigali_2_(c)icking-archive_piano_reduction.musicxml	2	82,82	3,2	none
VI	3. Tu piangi, o filli mia	gesualdo_vi_libro_madrigali_3_(c)icking-archive.mid	5	320.0	-1	0.795633	ok	gesualdo_vi_libro_madrigali_3_(c)icking-archive_piano_reduction.musicxml	2	80,80	3,2	none
VI	4. Resta di darmi noia	gesualdo_vi_libro_madrigali_4_(c)icking-archive.mid	5	296.0	-3	0.744853	ok	gesualdo_vi_libro_madrigali_4_(c)icking-archive_piano_reduction.musicxml	2	74,74	3,2	none
VI	5. Chiaro risplender suole	gesualdo_vi_libro_madrigali_5_(c)icking-archive.mid	5	384.0	-1	0.847848	ok	gesualdo_vi_libro_madrigali_5_(c)icking-archive_piano_reduction.musicxml	2	96,96	3,2	none
VI	6. Io parto e non più dissi	gesualdo_vi_libro_madrigali_6_(c)icking-archive.mid	5	296.0	1	0.765129	ok	gesualdo_vi_libro_madrigali_6_(c)icking-archive_piano_reduction.musicxml	2	74,74	3,2	none
