book	title	filename	parts	duration_quarters	status	output	reduced_parts	measures_per_part	voice_order_map	sweetspot_map	changed_from_voice_order	octave_adjusted_notes	traced_notes	error
IV	1. Luci serena e chiare	gesualdo_iv_libro_madrigali_1_(c)icking-archive.mid	5	344.0	ok	gesualdo_iv_libro_madrigali_1_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	86,86,86,86,86	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	738	844	
IV	2. Tallor sano desio	gesualdo_iv_libro_madrigali_2_(c)icking-archive.mid	5	292.0	ok	gesualdo_iv_libro_madrigali_2_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	73,73,73,73,73	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	522	582	
IV	3-4. Io Tacerò	gesualdo_iv_libro_madrigali_3-4_(c)icking-archive.mid	5	552.0	ok	gesualdo_iv_libro_madrigali_3-4_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	138,138,138,138,138	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	830	881	
IV	5. Che fai meco	gesualdo_iv_libro_madrigali_5_(c)icking-archive.mid	5	220.0	ok	gesualdo_iv_libro_madrigali_5_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	55,55,55,55,55	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	407	489	
IV	6. Questa crudele et pia	gesualdo_iv_libro_madrigali_6_(c)icking-archive.mid	5	308.0	ok	gesualdo_iv_libro_madrigali_6_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	77,77,77,77,77	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	542	612	
IV	7-8. Or che in gioia	gesualdo_iv_libro_madrigali_7-8_(c)icking-archive.mid	5	334.0	ok	gesualdo_iv_libro_madrigali_7-8_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	85,85,85,85,85	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	640	733	
IV	9-10. Cor mio, deh, non piangete	gesualdo_iv_libro_madrigali_9-10_(c)icking-archive.mid	5	404.0	ok	gesualdo_iv_libro_madrigali_9-10_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	101,101,101,101,101	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	720	772	
IV	11. Sparge la morte	gesualdo_iv_libro_madrigali_11_(c)icking-archive.mid	5	460.0	ok	gesualdo_iv_libro_madrigali_11_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	115,115,115,115,115	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	657	690	
IV	12-13. Moro, e mentre sospiro	gesualdo_iv_libro_madrigali_12-13_(c)icking-archive.mid	5	308.0	ok	gesualdo_iv_libro_madrigali_12-13_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	77,77,77,77,77	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	744	784	
IV	14. Mentre gira costei	gesualdo_iv_libro_madrigali_14_(c)icking-archive.mid	5	228.0	ok	gesualdo_iv_libro_madrigali_14_(c)icking-archive_quartet_plus_viole_sweetspot.musicxml	5	57,57,57,57,57	vln1=0;vln2=1;vda=2;vla=3;vc=4	vln1=0;vln2=1;vda=2;vla=3;vc=4	false	711	818	
