job	input_path	pdf_path	mode	status	suppressed_naturals	removed_dynamics	removed_hairpins	final_barlines_added	cello_clef_changes_added	pdf_midi_fallbacks	error
kdf	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_01_luci_serena_e_chiare.pdf	clean	rendered	541	44	40	4	18	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_02_tallor_sano_desio.pdf	clean	rendered	455	92	88	4	13	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_03-04_io_tacero.pdf	clean	rendered	682	120	112	4	26	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_05_che_fai_meco.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_05_che_fai_meco.pdf	clean	rendered	389	60	56	4	16	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_06_questa_crudele_et_pia.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_06_questa_crudele_et_pia.pdf	clean	rendered	399	64	60	4	13	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_07-08_or_che_in_gioia.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_07-08_or_che_in_gioia.pdf	clean	rendered	503	60	56	4	12	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_09-10_cor_mio_deh_non_piangete.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_09-10_cor_mio_deh_non_piangete.pdf	clean	rendered	596	116	106	4	12	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_11_sparge_la_morte.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_11_sparge_la_morte.pdf	clean	rendered	497	180	176	4	20	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_12-13_moro_e_mentre_sospiro.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_12-13_moro_e_mentre_sospiro.pdf	clean	rendered	612	52	48	4	11	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_14_mentre_gira_costei.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_14_mentre_gira_costei.pdf	clean	rendered	592	84	80	4	17	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_15_a_voi_mentre_il_mio_core.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_15_a_voi_mentre_il_mio_core.pdf	clean	rendered	508	68	64	4	10	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_16-17_ecco_moriro_dunque.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_16-17_ecco_moriro_dunque.pdf	clean	rendered	507	128	124	4	22	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_18_arde_il_mio_cor.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_18_arde_il_mio_cor.pdf	clean	rendered	433	76	72	4	14	0	
kdf	data/kdf/book4/reductions/string_quartet/book4_19_se_chiudete_nel_core.musicxml	data/kdf/book4/renders/string_quartet_pdf/book4_19_se_chiudete_nel_core.pdf	clean	rendered	487	68	64	4	14	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_01_se_la_mia_morte_brami.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_01_se_la_mia_morte_brami.pdf	clean	rendered	457	120	95	4	6	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_02_belta_poi_che_tassenti.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_02_belta_poi_che_tassenti.pdf	clean	rendered	399	84	80	4	16	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_03_tu_piangi_o_filli_mia.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_03_tu_piangi_o_filli_mia.pdf	clean	rendered	626	76	69	4	14	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_04_resta_di_darmi_noia.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_04_resta_di_darmi_noia.pdf	clean	rendered	417	76	71	4	6	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_05_chiaro_risplender_suole.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_05_chiaro_risplender_suole.pdf	clean	rendered	583	72	68	4	6	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_06_io_parto_e_non_piu_dissi.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_06_io_parto_e_non_piu_dissi.pdf	clean	rendered	459	60	56	4	6	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_07_mille_volte_il_di.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_07_mille_volte_il_di.pdf	clean	rendered	287	64	60	4	10	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_08_o_dolce_mio_tesoro.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_08_o_dolce_mio_tesoro.pdf	clean	rendered	497	80	76	4	10	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_09_deh_come_invan_sospiro.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_09_deh_come_invan_sospiro.pdf	clean	rendered	349	72	62	4	9	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_10_io_pur_respiro_in_cosi_gran_dolore.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_10_io_pur_respiro_in_cosi_gran_dolore.pdf	clean	rendered	423	72	65	4	10	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_11_alme_damor_rubelle.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_11_alme_damor_rubelle.pdf	clean	rendered	494	68	64	4	10	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_12_candido_e_verde_fiore.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_12_candido_e_verde_fiore.pdf	clean	rendered	445	56	52	4	14	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_13_ardita_zanzaretta.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_13_ardita_zanzaretta.pdf	clean	rendered	537	80	76	4	12	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_14_ardo_per_te_mio_bene.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_14_ardo_per_te_mio_bene.pdf	clean	rendered	468	72	67	4	12	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_15_ancide_sol_la_morte.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_15_ancide_sol_la_morte.pdf	clean	rendered	480	44	40	4	7	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_16_quel_no_crudel_que_la_mia_speme_ancise.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_16_quel_no_crudel_que_la_mia_speme_ancise.pdf	clean	rendered	510	72	68	4	12	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_17_moro_lasso_al_mio_duolo.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_17_moro_lasso_al_mio_duolo.pdf	clean	rendered	477	108	104	4	18	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_18_volan_quasi_farfalle.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_18_volan_quasi_farfalle.pdf	clean	rendered	707	76	72	4	10	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_19_al_mio_gioir_il_ciel_si_fa_sereno.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_19_al_mio_gioir_il_ciel_si_fa_sereno.pdf	clean	rendered	628	72	68	4	10	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_20_tu_segui_o_bella_clori.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_20_tu_segui_o_bella_clori.pdf	clean	rendered	482	68	64	4	12	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_21_ancor_che_per_amarti.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_21_ancor_che_per_amarti.pdf	clean	rendered	559	124	120	4	10	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_22_gia_piansi_nel_dolore.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_22_gia_piansi_nel_dolore.pdf	clean	rendered	484	76	72	4	4	0	
kdf	data/kdf/book6/reductions/string_quartet/book6_23_quando_ridente_e_bella.musicxml	data/kdf/book6/renders/string_quartet_pdf/book6_23_quando_ridente_e_bella.pdf	clean	rendered	586	76	72	4	0	0	
