book	title	source_path	quartet_musicxml	quartet_mp3	direct_url
IV	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_01_luci_serena_e_chiare.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_1_(c)icking-archive.mid
IV	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_02_tallor_sano_desio.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_2_(c)icking-archive.mid
IV	3-4. Io Tacerò	data/kdf/book4/sources/book4_03-04_io_tacero.mid	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_03-04_io_tacero.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_3-4_(c)icking-archive.mid
IV	5. Che fai meco	data/kdf/book4/sources/book4_05_che_fai_meco.mid	data/kdf/book4/reductions/string_quartet/book4_05_che_fai_meco.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_05_che_fai_meco.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_5_(c)icking-archive.mid
IV	6. Questa crudele et pia	data/kdf/book4/sources/book4_06_questa_crudele_et_pia.mid	data/kdf/book4/reductions/string_quartet/book4_06_questa_crudele_et_pia.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_06_questa_crudele_et_pia.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_6_(c)icking-archive.mid
IV	7-8. Or che in gioia	data/kdf/book4/sources/book4_07-08_or_che_in_gioia.mid	data/kdf/book4/reductions/string_quartet/book4_07-08_or_che_in_gioia.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_07-08_or_che_in_gioia.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_7-8_(c)icking-archive.mid
IV	9-10. Cor mio, deh, non piangete	data/kdf/book4/sources/book4_09-10_cor_mio_deh_non_piangete.mid	data/kdf/book4/reductions/string_quartet/book4_09-10_cor_mio_deh_non_piangete.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_09-10_cor_mio_deh_non_piangete.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_9-10_(c)icking-archive.mid
IV	11. Sparge la morte	data/kdf/book4/sources/book4_11_sparge_la_morte.mid	data/kdf/book4/reductions/string_quartet/book4_11_sparge_la_morte.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_11_sparge_la_morte.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_11_(c)icking-archive.mid
IV	12-13. Moro, e mentre sospiro	data/kdf/book4/sources/book4_12-13_moro_e_mentre_sospiro.mid	data/kdf/book4/reductions/string_quartet/book4_12-13_moro_e_mentre_sospiro.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_12-13_moro_e_mentre_sospiro.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_12-13_(c)icking-archive.mid
IV	14. Mentre gira costei	data/kdf/book4/sources/book4_14_mentre_gira_costei.mid	data/kdf/book4/reductions/string_quartet/book4_14_mentre_gira_costei.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_14_mentre_gira_costei.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_14_(c)icking-archive.mid
IV	15. A voi, mentre il mio core	data/kdf/book4/sources/book4_15_a_voi_mentre_il_mio_core.mid	data/kdf/book4/reductions/string_quartet/book4_15_a_voi_mentre_il_mio_core.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_15_a_voi_mentre_il_mio_core.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_15_(c)icking-archive.mid
IV	16-17. Ecco, morirò dunque	data/kdf/book4/sources/book4_16-17_ecco_moriro_dunque.mid	data/kdf/book4/reductions/string_quartet/book4_16-17_ecco_moriro_dunque.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_16-17_ecco_moriro_dunque.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_16-17_(c)icking-archive.mid
IV	18. Arde il mio cor	data/kdf/book4/sources/book4_18_arde_il_mio_cor.mid	data/kdf/book4/reductions/string_quartet/book4_18_arde_il_mio_cor.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_18_arde_il_mio_cor.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_18_(c)icking-archive.mid
IV	19. Se chiudete nel core	data/kdf/book4/sources/book4_19_se_chiudete_nel_core.mid	data/kdf/book4/reductions/string_quartet/book4_19_se_chiudete_nel_core.musicxml	data/kdf/book4/renders/string_quartet_mp3/book4_19_se_chiudete_nel_core.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_iv_libro_madrigali_19_(c)icking-archive.mid
VI	1. Se la mia morte brami	data/kdf/book6/sources/book6_01_se_la_mia_morte_brami.mid	data/kdf/book6/reductions/string_quartet/book6_01_se_la_mia_morte_brami.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_01_se_la_mia_morte_brami.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_1_(c)icking-archive.mid
VI	2. Beltà poi che tassenti	data/kdf/book6/sources/book6_02_belta_poi_che_tassenti.mid	data/kdf/book6/reductions/string_quartet/book6_02_belta_poi_che_tassenti.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_02_belta_poi_che_tassenti.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_2_(c)icking-archive.mid
VI	3. Tu piangi, o filli mia	data/kdf/book6/sources/book6_03_tu_piangi_o_filli_mia.mid	data/kdf/book6/reductions/string_quartet/book6_03_tu_piangi_o_filli_mia.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_03_tu_piangi_o_filli_mia.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_3_(c)icking-archive.mid
VI	4. Resta di darmi noia	data/kdf/book6/sources/book6_04_resta_di_darmi_noia.mid	data/kdf/book6/reductions/string_quartet/book6_04_resta_di_darmi_noia.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_04_resta_di_darmi_noia.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_4_(c)icking-archive.mid
VI	5. Chiaro risplender suole	data/kdf/book6/sources/book6_05_chiaro_risplender_suole.mid	data/kdf/book6/reductions/string_quartet/book6_05_chiaro_risplender_suole.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_05_chiaro_risplender_suole.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_5_(c)icking-archive.mid
