book	title	filename	parts	duration_quarters	chosen_semitones	transposition_score	mode	status	output	reduced_parts	measures_per_part	error
IV	1. Luci serena e chiare	data/kdf/book4/sources/book4_01_luci_serena_e_chiare.mid	5	344.0	0	0.398621	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	4	86,86,86,86	none
IV	2. Tallor sano desio	data/kdf/book4/sources/book4_02_tallor_sano_desio.mid	5	292.0	0	0.404268	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_02_tallor_sano_desio.musicxml	4	73,73,73,73	none
IV	3-4. Io Tacerò	data/kdf/book4/sources/book4_03-04_io_tacero.mid	5	552.0	2	0.509071	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_03-04_io_tacero.musicxml	4	138,138,138,138	none
IV	5. Che fai meco	data/kdf/book4/sources/book4_05_che_fai_meco.mid	5	220.0	2	0.41914	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_05_che_fai_meco.musicxml	4	55,55,55,55	none
IV	6. Questa crudele et pia	data/kdf/book4/sources/book4_06_questa_crudele_et_pia.mid	5	308.0	0	0.326589	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_06_questa_crudele_et_pia.musicxml	4	77,77,77,77	none
IV	7-8. Or che in gioia	data/kdf/book4/sources/book4_07-08_or_che_in_gioia.mid	5	334.0	0	0.367761	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_07-08_or_che_in_gioia.musicxml	4	85,85,85,85	none
IV	9-10. Cor mio, deh, non piangete	data/kdf/book4/sources/book4_09-10_cor_mio_deh_non_piangete.mid	5	404.0	0	0.44595	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_09-10_cor_mio_deh_non_piangete.musicxml	4	101,101,101,101	none
IV	11. Sparge la morte	data/kdf/book4/sources/book4_11_sparge_la_morte.mid	5	460.0	5	0.379715	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_11_sparge_la_morte.musicxml	4	115,115,115,115	none
IV	12-13. Moro, e mentre sospiro	data/kdf/book4/sources/book4_12-13_moro_e_mentre_sospiro.mid	5	308.0	2	0.493598	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_12-13_moro_e_mentre_sospiro.musicxml	4	77,77,77,77	none
IV	14. Mentre gira costei	data/kdf/book4/sources/book4_14_mentre_gira_costei.mid	5	228.0	0	0.354195	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_14_mentre_gira_costei.musicxml	4	57,57,57,57	none
IV	15. A voi, mentre il mio core	data/kdf/book4/sources/book4_15_a_voi_mentre_il_mio_core.mid	5	236.0	0	0.342575	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_15_a_voi_mentre_il_mio_core.musicxml	4	59,59,59,59	none
IV	16-17. Ecco, morirò dunque	data/kdf/book4/sources/book4_16-17_ecco_moriro_dunque.mid	5	320.0	0	0.341776	string_quartet	ok	data/kdf/book4/reductions/string_quartet/book4_16-17_ecco_moriro_dunque.musicxml	4	80,80,80,80	none
