source_path	source_parts	output_path	global_transposition	status	error
data/take6/44 Spread love.mid	6	data/take6/reductions/string_quartet_double_stops/spread_love.musicxml	4	ok	
data/take6/46 Gold Mine.mid	6	data/take6/reductions/string_quartet_double_stops/gold_mine.musicxml	3	ok	
data/take6/47 A quiet place, originalrevu.mid	6	data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	3	ok	
data/take6/47 He never sleeps.mid	6	data/take6/reductions/string_quartet_double_stops/he_never_sleeps.musicxml	1	ok	
data/take6/48 David et Goliath.mid	6	data/take6/reductions/string_quartet_double_stops/david_et_goliath.musicxml	3	ok	
data/take6/48 Get away Jordan.mid	6	data/take6/reductions/string_quartet_double_stops/get_away_jordan.musicxml	1	ok	
data/take6/50 If we ever.mid	6	data/take6/reductions/string_quartet_double_stops/if_we_ever.musicxml	2	ok	
data/take6/51 Hark herald.mid	6	data/take6/reductions/string_quartet_double_stops/hark_herald.musicxml	3	ok	
data/take6/53 I'm on my way.mid	6	data/take6/reductions/string_quartet_double_stops/i_m_on_my_way.musicxml	4	ok	
data/take6/ComeUntoMe.mid	6	data/take6/reductions/string_quartet_double_stops/come_unto_me.musicxml	-3	ok	
