batch	work_id	title	input_path	output_path	pdf_path	status	error	changes	before_total	after_total	before_register_jump	after_register_jump	before_dangling_tie	after_dangling_tie	before_accidental_on_tie_continuation	after_accidental_on_tie_continuation	before_sparse_fragment	after_sparse_fragment	before_sparse_window	after_sparse_window	removed_dynamics	removed_hairpins	normalized_dangling_ties	suppressed_tie_continuation_accidentals
take6_string_quartet_double_stops	spread_love	Spread Love	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/spread_love.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/spread_love/spread_love_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/spread_love/spread_love_optimized.pdf	pdf_failed	MuseScore failed with return code 40	35	129	30	57	20	38	0	32	8	2	2	0	0	124	107	116	2
take6_string_quartet_double_stops	gold_mine	Gold Mine	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/gold_mine.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/gold_mine/gold_mine_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/gold_mine/gold_mine_optimized.pdf	pdf_failed	MuseScore failed with return code 40	30	67	16	46	14	7	0	14	2	0	0	0	0	164	160	33	0
take6_string_quartet_double_stops	a_quiet_place	A Quiet Place	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/a_quiet_place/a_quiet_place_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/a_quiet_place/a_quiet_place_optimized.pdf	ok		4	8	0	4	0	1	0	3	0	0	0	0	0	60	56	4	0
take6_string_quartet_double_stops	he_never_sleeps	He Never Sleeps	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/he_never_sleeps.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/he_never_sleeps/he_never_sleeps_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/he_never_sleeps/he_never_sleeps_optimized.pdf	ok		5	7	0	6	0	1	0	0	0	0	0	0	0	28	24	1	0
take6_string_quartet_double_stops	david_et_goliath	David Et Goliath	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/david_et_goliath.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/david_et_goliath/david_et_goliath_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/david_et_goliath/david_et_goliath_optimized.pdf	failed	Invariant mismatch at segment 1204: (2, 208.0, 208.5, (7,)) != (2, 208.0, 208.5, ())	46	0	0	0	0	0	0	0	0	0	0	0	0	100	94	38	0
take6_string_quartet_double_stops	get_away_jordan	Get Away Jordan	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/get_away_jordan.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/get_away_jordan/get_away_jordan_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/get_away_jordan/get_away_jordan_optimized.pdf	failed	Invariant mismatch at segment 1544: (2, 359.5, 360.0, (7, 11)) != (2, 359.5, 360.0, ())	39	0	0	0	0	0	0	0	0	0	0	0	0	64	60	27	0
take6_string_quartet_double_stops	if_we_ever	If We Ever	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/if_we_ever.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/if_we_ever/if_we_ever_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/if_we_ever/if_we_ever_optimized.pdf	pdf_failed	MuseScore failed with return code 40	41	67	21	47	16	10	0	10	5	0	0	0	0	148	141	31	1
take6_string_quartet_double_stops	hark_herald	Hark Herald	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/hark_herald.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/hark_herald/hark_herald_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/hark_herald/hark_herald_optimized.pdf	ok		18	15	3	15	3	0	0	0	0	0	0	0	0	80	67	0	0
take6_string_quartet_double_stops	i_m_on_my_way	I M On My Way	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/i_m_on_my_way.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/i_m_on_my_way/i_m_on_my_way_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/i_m_on_my_way/i_m_on_my_way_optimized.pdf	ok		32	151	74	86	64	20	0	45	10	0	0	0	0	128	124	103	10
take6_string_quartet_double_stops	come_unto_me	Come Unto Me	/Users/francoispachet/IdeaProjects/gesualdo/data/take6/reductions/string_quartet_double_stops/come_unto_me.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/come_unto_me/come_unto_me_optimized.musicxml	/Users/francoispachet/IdeaProjects/gesualdo/outputs/batch_octave_optimization/take6_string_quartet_double_stops/come_unto_me/come_unto_me_optimized.pdf	pdf_failed	MuseScore failed with return code 40	10	16	3	8	1	2	0	6	2	0	0	0	0	56	52	10	0
