piece	file	part	measure	kind	offset	duration	end	beat	boundary	item	tie
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	1	long_note_starts_on_beat	0	1	1	1/2	1/2	E5	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	1	long_note_starts_on_beat	1	1	2	1/2	3/2	D5	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	1	long_note_starts_on_beat	2	1	3	1/2	5/2	C#5	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	1	long_note_starts_on_beat	3	1	4	1/2	7/2	B4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	1	rest_starts_on_beat_crosses_later_beat	4	1	5	1/2	9/2	rest	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	2	long_note_starts_on_beat	0	1	1	1/2	1/2	B4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	2	long_note_starts_on_beat	1	1	2	1/2	3/2	B4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	2	long_note_starts_on_beat	2	1	3	1/2	5/2	B4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	2	rest_starts_on_beat_crosses_later_beat	3	1	4	1/2	7/2	rest	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	5	long_note_starts_on_beat	0	1	1	1/2	1/2	E5	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	5	long_note_starts_on_beat	1	1	2	1/2	3/2	D5	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	5	long_note_starts_on_beat	2	1	3	1/2	5/2	C#5	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	5	long_note_starts_on_beat	3	3/2	9/2	1/2	7/2,4	B4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	5	rest_starts_on_beat_crosses_later_beat	9/2	1	11/2	1/2	5	rest	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	6	long_note_starts_on_beat	3	3/2	9/2	1	4	B4	stop
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	6	rest_crosses_beat	9/2	1	11/2	1	5	rest	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	7	long_note_starts_on_beat	2	1	3	1/2	5/2	B4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	7	long_note_starts_on_beat	3	1	4	1/2	7/2	D5	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	9	long_note_starts_on_beat	0	1	1	1/2	1/2	D5	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	9	long_note_starts_on_beat	1	1	2	1/2	3/2	C#5	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	9	long_note_starts_on_beat	2	1	3	1/2	5/2	B4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	10	long_note_starts_on_beat	1/2	3/4	5/4	1/2	1	A#4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	10	note_crosses_beat	5/4	1/2	7/4	1/2	3/2	B4	start
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	10	note_crosses_beat	7/4	3/4	5/2	1/2	2	B4	stop
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	10	rest_starts_on_beat_crosses_later_beat	5/2	1	7/2	1/2	3	rest	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	11	long_note_starts_on_beat	0	2	2	1/2	1/2,1,3/2	B4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	11	long_note_starts_on_beat	2	1	3	1/2	5/2	B4	start
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	11	long_note_starts_on_beat	3	1	4	1/2	7/2	B4	stop
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	11	rest_starts_on_beat_crosses_later_beat	4	1	5	1/2	9/2	rest	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	12	long_note_starts_on_beat	0	2	2	1/2	1/2,1,3/2	B4	start
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	12	long_note_starts_on_beat	2	1	3	1/2	5/2	B4	stop
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin II	1	long_note_starts_on_beat	0	2	2	1/2	1/2,1,3/2	B4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin II	1	long_note_starts_on_beat	2	1	3	1/2	5/2	A4	
our_prayer_low_cello	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin II	1	long_note_starts_on_beat	3	1	4	1/2	7/2	G4	
