file	part	measure	kind	detail
data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	10	note_crosses_beat	B4 5/4+1/2 crosses beat boundary 3/2; tie=start
data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin I	10	note_crosses_beat	B4 7/4+3/4 crosses beat boundary 2; tie=stop
data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin II	10	note_crosses_beat	D4 5/4+1/2 crosses beat boundary 3/2; tie=start
data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violin II	10	note_crosses_beat	D4 7/4+3/4 crosses beat boundary 2; tie=stop
data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Viola	10	note_crosses_beat	B3 5/4+1/2 crosses beat boundary 3/2; tie=start
data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Viola	10	note_crosses_beat	B3 7/4+3/4 crosses beat boundary 2; tie=stop
data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violoncello	6	note_crosses_beat	E3 15/4+3/4 crosses beat boundary 4
data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violoncello	10	note_crosses_beat	B2 5/4+1/2 crosses beat boundary 3/2; tie=start
data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	Violoncello	10	note_crosses_beat	B2 7/4+3/4 crosses beat boundary 2; tie=stop
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	5	note_crosses_beat	C5 3/2+1 crosses beat boundary 2
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	7	note_crosses_beat	B-4 1/2+1 crosses beat boundary 1
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	8	note_crosses_beat	F4 1/2+1 crosses beat boundary 1
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	9	note_crosses_beat	C5 1/2+1 crosses beat boundary 1
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	14	note_crosses_beat	E-5 5/2+1 crosses beat boundary 3
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	15	note_crosses_beat	C5 3/2+1 crosses beat boundary 2
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	17	note_crosses_beat	A-4 5/2+1 crosses beat boundary 3
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	18	note_crosses_beat	E-5 1/2+1 crosses beat boundary 1
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	22	note_crosses_beat	E-5 1/2+1 crosses beat boundary 1
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	30	note_crosses_beat	F5 3/2+3/4 crosses beat boundary 2
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	32	note_crosses_beat	E-5 5/2+1 crosses beat boundary 3
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin I	33	dense_bar	10 attacks; 7 at sixteenth-note duration or shorter
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin II	7	note_crosses_beat	C4 3/2+1 crosses beat boundary 2
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin II	8	note_crosses_beat	A-4 1/2+1 crosses beat boundary 1
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin II	20	dense_bar	9 attacks; 6 at sixteenth-note duration or shorter
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin II	21	dense_bar	10 attacks; 6 at sixteenth-note duration or shorter
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin II	22	note_crosses_beat	B-4 1/2+1 crosses beat boundary 1
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin II	30	note_crosses_beat	A-4 3/2+3/4 crosses beat boundary 2
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin II	31	dense_bar	11 attacks; 8 at sixteenth-note duration or shorter
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin II	32	note_crosses_beat	B-4 5/2+1 crosses beat boundary 3
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Violin II	33	dense_bar	10 attacks; 6 at sixteenth-note duration or shorter
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Viola	5	note_crosses_beat	C4 5/2+1 crosses beat boundary 3
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Viola	6	viola_treble_clef_candidate	1 ql at A4 or above
data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	Viola	7	note_crosses_beat	F4 5/2+1 crosses beat boundary 3
