kind	severity	batch	work_id	title	output_path	part	measure	offset	detail	context
register_jump	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	7	26	14 semitones from MIDI 58 to 72	prev_dur=1; current_dur=1
register_jump	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	25	98	12 semitones from MIDI 77 to 65	prev_dur=2; current_dur=1
register_jump	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	27	104	12 semitones from MIDI 65 to 77	prev_dur=1; current_dur=2
register_jump	high	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	29	112.5	19 semitones from MIDI 84 to 65	prev_dur=0.5; current_dur=0.5
register_jump	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	40	159	14 semitones from MIDI 70 to 84	prev_dur=1; current_dur=0.5
register_jump	high	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	41	162	19 semitones from MIDI 77 to 58	prev_dur=1; current_dur=0.5
register_jump	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	61	243	14 semitones from MIDI 70 to 84	prev_dur=1; current_dur=0.5
register_jump	high	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	62	246	19 semitones from MIDI 77 to 58	prev_dur=1; current_dur=0.5
dangling_tie	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	41	163	tie start without matching continuation	pitches=65
dangling_tie	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	62	247	tie start without matching continuation	pitches=65
accidental_on_tie_continuation	low	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin I	34	132	1 visible accidental(s) on tied continuation	pitches=65
register_jump	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin II	83	330	12 semitones from MIDI 60 to 72	prev_dur=2; current_dur=2
dangling_tie	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin II	26	103	tie start without matching continuation	pitches=65
dangling_tie	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin II	71	282	tie start without matching continuation	pitches=69
dangling_tie	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin II	76	302	tie start without matching continuation	pitches=67
dangling_tie	medium	kdf_string_quartet	IV 1. Luci serena e chiare	1. Luci serena e chiare	data/kdf/book4/reductions/string_quartet/book4_01_luci_serena_e_chiare.musicxml	Violin II	83	330	tie start without matching continuation	pitches=72
